# Size, Precision, Recall, Fscore
10.000000,0.000000,0.000000,0.000000
535.000000,0.904167,0.400000,0.527024
1061.000000,0.683333,0.550000,0.607143
1587.000000,0.745833,0.737500,0.741071
2113.000000,0.750000,0.750000,0.750000
2638.000000,0.750000,0.750000,0.750000
3164.000000,0.750000,0.750000,0.750000
3690.000000,0.750000,0.750000,0.750000
4216.000000,0.750000,0.750000,0.750000
4742.000000,0.750000,0.750000,0.750000
5267.000000,0.750000,0.750000,0.750000
5793.000000,0.750000,0.750000,0.750000
6319.000000,0.750000,0.750000,0.750000
6845.000000,0.750000,0.750000,0.750000
7371.000000,0.750000,0.750000,0.750000
7896.000000,0.750000,0.750000,0.750000
8422.000000,0.750000,0.750000,0.750000
8948.000000,0.750000,0.750000,0.750000
9474.000000,0.762500,0.762500,0.762500
10000.000000,0.762500,0.762500,0.762500
